identifier,name
margheritazanatta,Lᴀ Mᴀʀɢʜᴇ
sodin,Davide Sodano - Sodin
fedez,FEDEZ
jonnycutuli,JONNY CUTULI
laurafreddiofficial,Laura freddi Official
serenaenardu,𝓢𝓮𝓻𝓮𝓷𝓪 𝓔𝓷𝓪𝓻𝓭𝓾 ✨
tommxso,TOMMASO BENEDETTI
moise_kean,Moise kean 🦍
sofiacrisafullii,𝔰𝔬𝔣👸🏻
instarohn,Matteo
iammura_,MuraA
aurorabaruto,☘️ AURIX ☘️
bossdoms,BOSS DOMS
blurs7,Gianmarco Tocco 🍁
giolucini,Giorgia Lucini
costy_caracciolo,Costanza Caracciolo🍒🇮🇹
cleotoms,CLEO
georgeciupilan,George Ciupilan
montovoli,Andrea Montovoli
4calamano,4CALAMANO
martinaluchena,Martina Luchena
nunziacillo,Nunzia Cillo
emmamuscat_official,Emma Muscat
andreamelchiorre1,Andrea Melchiorre
veryinutilpeople.it,VeryInutilPeople
adrianaspink,ADRIANA SPINK
antonio.medugno,𝑨𝑵𝑻𝑶𝑵𝑰𝑶 𝑴𝑬𝑫𝑼𝑮𝑵𝑶 •
chiarafrancini,Chiara Francini
lorenzo.riccardi17,LORENZO RICCARDI 🐍
giulymol,GIULIA MOLINO
francescapiccinini12,Francesca Piccinini
rapuanomarisa,Marisa Rapuano official
maxoddo76,Massimo Oddo
_labadessa,Mattia Labadessa
claudiadionigi,Claudia
gaiaofficial,Gaia
maurositura,Mauro Situra
francescatocca,Francesca Tocca
sbriser_,Francesco Sanfilippo
alicelikeaudrey,Alice Venturi
andreaiannone,Andrea Iannone
misskatia,Katia Pedrotti
beatricebulferetti,Beatrice Bulferetti
